abstract;URL;title;date;numPage;language;doi;volume;
NULL;http://dx.doi.org/10.1055/a-1229-5048;COVID-19 COVID-19 COVID-19 COVID-19 COVID-19 COVID-19;11/3/2020;173;de;;36;
N/A;http://dx.doi.org/10.26524/royal.37.21;MANAGEMENT STRATEGIES OF COVID - 19;9/29/2020;221;N/A;;N/A;
N/A;http://dx.doi.org/10.26524/royal.37.15;PSYCHOLOGICAL IMPACT OF COVID-19;6/10/2021;175;N/A;;N/A;
N/A;http://dx.doi.org/10.26524/royal.37.25;THE WORLD AFTER COVID -19;11/2/2020;253;N/A;;N/A;
N/A;http://dx.doi.org/10.26524/royal.3718;INFLUENCE OF COVID-19 AT GLOBAL LEVEL;9/23/2020;198;N/A;;N/A;
N/A;http://dx.doi.org/10.26524/royal.37.18;INFLUENCE OF COVID-19 AT GLOBAL LEVEL;9/30/2020;198;N/A;;N/A;
N/A;http://dx.doi.org/10.26524/royal.37.17;IMPACT OF COVID-19 ON ACADEMICS AND RESEARCH;9/29/2020;191;N/A;;N/A;
N/A;http://dx.doi.org/10.26524/royal.37.27;THE GLOBAL COUNTRY WISE STATISTICS ON COVID-19;9/29/2020;269;N/A;;N/A;
N/A;http://dx.doi.org/10.26524/royal.37.20;IMPACT OF COVID 19 ON THE GLOBAL ECONOMY;9/29/2020;213;N/A;;N/A;
N/A;http://dx.doi.org/10.26524/royal.37.26;THE GLOBAL RACE FOR MOST AWAITED VACCINE AGAINST COVID-19;9/29/2020;261;N/A;;N/A;
N/A;http://dx.doi.org/10.26524/royal.37.22;EMERGENCE OF ONLINE LEARNING ON COVID 19;9/29/2020;229;N/A;;N/A;
N/A;http://dx.doi.org/10.26524/royal.37.9;IMMUNE RESPONSE TO COVID-19 INFECTION;9/29/2020;127;N/A;;N/A;
N/A;http://dx.doi.org/10.26524/royal.37.16;IMPACT OF COVID-19 ON AERONAUTICAL ENGINEERING;9/29/2020;183;N/A;;N/A;
N/A;http://dx.doi.org/10.26524/royal.37.5;NEUROLOGICAL IMPACT OF COVID-19 PANDEMIC: LESSONS & CAUTIONS;9/29/2020;83;N/A;;N/A;
N/A;http://dx.doi.org/10.26524/royal.37.19;INFLUENCE OF COVID-19 ON BUSINESS; MARKETING AND SUPPLY;10/21/2020;207;N/A;;N/A;
N/A;http://dx.doi.org/10.26524/royal.37.28;ADMINISTRATION OF CURRENT MEDICINE AGAINST COVID-19;10/21/2020;277;N/A;;N/A;
N/A;http://dx.doi.org/10.1158/1557-3265.covid-19-ia26;Abstract IA26: Understanding the impact of COVID in cancer patients through the COVID-19 and Cancer (CCC-19) and other COVID consortiums;12/3/2020;N/A;N/A;;N/A;
N/A;http://dx.doi.org/10.26524/royal.37.13;ROLE OF INFORMATION SCIENCE DURING COVID -19;5/19/2021;156;N/A;;N/A;
