ID;DOI
1;101055a-1229-5048
2;1026524royal3721
3;1026524royal3715
4;1026524royal3725
5;1026524royal3718
6;1026524royal3718
7;1026524royal3717
8;1026524royal3717
9;1026524royal3727
10;1026524royal3720
11;1026524royal3726
12;1026524royal3726
13;1026524royal3722
14;1026524royal379
15;1026524royal379
16;1026524royal3716
17;1026524royal3716
18;1026524royal3716
19;1026524royal375
20;1026524royal3719
21;1026524royal3728
22;1011581557-3265covid-19-ia26
23;1026524royal3713
24;1026524royal3729
25;1026524royal3729
26;1026524royal376
27;105603fc20210010
28;1026524royal374
29;1023880oajprs-16000135
30;1026524royal3723
31;101093law-occ19e1501315
32;101093law-occ19e1501315
33;101093law-occ19e40134
34;101093law-occ19e50135
35;101093law-occ19e1201312
36;101093law-occ19e1201312
37;101093law-occ19e1201312
38;101093law-occ19e70137
39;101093law-occ19e70137
40;101093law-occ19e1701317
41;101093law-occ19e1701317
42;101093law-occ19e90139
43;101093law-occ19e90139
44;101093law-occ19e1401314
45;1018231jijirm2020017
46;1018231jijirm2020019
47;101136bmjm3616
48;101136bmjm3616
49;103390covid1010001
50;103390covid1010001
51;1021742666958702101010020
52;1021742666958702101010020
53;1018231jijirm2020023
54;1018231jijirm2020023
55;1043249781003111344-2
56;1043249781003111344-2
57;1043249781003108924-13
58;1026419res00414001
59;1026419res00414001
60;1012019781003104124-2
61;101016b978-0-323-82860-400001-x
62;1043249781003154037-17
63;1043249781003142065-1
64;1043249781003154037-15
65;1043249781003154037-26
66;1043249781003111344-3
67;1022541au16217239228881736v1
68;101038s41598-021-91114-5
69;101038s41598-021-91114-5
70;101038s41598-021-91114-5
71;101038s41598-021-91114-5
72;101038s41598-021-91114-5
73;101038s41598-021-91114-5
74;101038s41598-021-91114-5
75;101038s41598-021-91114-5
76;1018535jmscrv8i1113
77;1031219osfiodt45z
78;1031219osfio2dwua
79;105194egusphere-egu21-1266
80;1043249781003154037-7
81;1043249781003095590-6
82;1043249781003095590-6
83;1021742666796701999201026205030
84;1031235osfion8yp6
85;1031235osfion8yp6
86;1020944preprints2020040432v1
87;105772intechopen96199
88;1043249781003108924-3
89;1026524royal37
90;1026524royal37
91;1017161rrnmfv1i314522
92;1021742666796701999201203210852
93;1021742666796701999201203210852
94;1022541au15887232886968358
95;101136bmjm2623
96;1011581557-3265covid-19-ia17
97;101186isrctn14212905
98;1020506bull2020nf3137
99;1047919fmgaoc200008
100;1029315gmv7i1312
101;1021742666796702666210301124727
102;1021742666796702666210301124727
103;1021742666796702666210121144902
104;1021742666796701999201204120422
105;1021742666796701999201204120422
106;101016b978-0-12-824003-800002-4
107;101016b978-0-12-824003-800002-4
108;101016b978-0-12-824003-800002-4
109;101016b978-0-12-824003-800003-6
110;101016b978-0-12-824003-800003-6
111;101016b978-0-12-824003-800003-6
112;101016b978-0-12-824003-800005-x
113;101016b978-0-12-824003-800005-x
114;101016b978-0-12-824003-800005-x
115;101016b978-0-12-824003-800001-2
116;101016b978-0-12-824003-800001-2
117;101016b978-0-12-824003-800001-2
118;101016b978-0-12-824003-800004-8
119;101016b978-0-12-824003-800004-8
120;101016b978-0-12-824003-800004-8
121;1012019781003104124-5
122;105772intechopen96397
123;105772intechopen96397
124;1021742666796701999201116212443
125;1011012020072620162008
126;1011012020072620162008
127;1021742666796701666210108120344
128;1021742666796701666210108120344
129;1012019781003137481-12
130;1043249781003108924-23
131;1043249781003108924-6
132;1043249781003108924-11
133;1043249781003108924-11
134;1021742666796701999210101151035
135;1011012020101120211052
136;1026419res00414007
137;1026419res00414007
138;1031219osfionsm2u
139;1021203rs3rs-150583v1
140;1021203rs3rs-104621v1
141;1043249781003121718-6
142;1043249781003121718-6
143;1043249781003121718-6
144;1012019781003104124-7
145;1012019781003104124-1
146;105772intechopen96200
147;101016b978-0-323-82860-400006-9
148;101016b978-0-323-82860-400006-9
149;101016b978-0-323-82860-400008-2
150;101016b978-0-323-82860-400005-7
151;101016b978-0-323-82860-400005-7
152;101016b978-0-323-82860-400015-x
153;101016b978-0-323-82860-400015-x
154;101016b978-0-323-82860-400017-3
155;101016b978-0-323-82860-400009-4
156;101016b978-0-323-82860-400009-4
157;101016b978-0-323-82860-400020-3
158;101016b978-0-323-82860-400021-5
159;1021742666796702666210308114216
160;1043249781003095590-9
161;1043249781003095590-9
162;1043249781003154037-14
163;1043249781003154037-3
164;1043249781003154037-3
165;1043249781003154037-27
166;1043249781003154037-27
167;1043249781003154037-27
168;1043249781003154037-30
169;1043249781003154037-30
170;1043249781003154037-23
171;1043249781003154037-25
172;1043249781003154037-25
173;1043249781003154037-29
174;1043249781003154037-19
175;1043249781003142089-12
176;1043249781003142089-7
177;1043249781003142089-1
178;1043249781003142065-9
179;1025060residpediatr-2020v10n2-355
180;105772intechopen97482
181;1043249781003154037-9
182;1043249781003154037-9
183;1043249781003154037-22
184;1043249781003154037-6
185;1043249781003154037-6
186;1043249781003154037-11
187;1043249781003154037-11
188;1043249781003154037-16
189;1043249781003154037-20
190;1043249781003154037-21
191;1043249781003154037-21
192;1043249781003154037-12
193;1043249781003154037-8
194;1043249781003154037-8
195;102196preprints30124
196;1011012021052021257387
197;1015159780271091723-003
198;1015159780271091723-002
199;101136bmjm2815
200;10239129781911635703-4429
201;104103ijspijsp_339_20
202;1037423200601135
203;1037423200601135
204;1037423200601136
205;1037423200601136
206;1037423200501013
207;1037423200501007
208;1037423200501018
209;1037423200501008
210;1037423200501010
211;1037423200501005
212;1037423200501012
213;1037423200501002
214;1037423200501009
215;1037423200501014
216;1011581557-3265covid-19-21-s11-04
217;1011581557-3265covid-19-21-s11-04
218;1011581557-3265covid-19-21-s11-04
219;1011581557-3265covid-19-21-s11-04
220;101164ajrccm-conference20212031_meetingabstractsa2450
221;101164ajrccm-conference20212031_meetingabstractsa2450
222;101164ajrccm-conference20212031_meetingabstractsa2450
223;101164ajrccm-conference20212031_meetingabstractsa2450
224;101164ajrccm-conference20212031_meetingabstractsa2450
225;102307jctv1b7422228
226;103389fpsyg2020607064
227;103389fpsyg2020607064
228;103389fpsyg2020607064
229;103389fpsyg2020607064
230;1018231jijirm2020021
231;1018231jijirm2020021
232;1018231jijirm2020021
233;1018231jijirm2020021
234;1047183mes2020003
235;1047183mes2020003
236;1047183mes2020003
237;1047183mes2020003
238;1022215currrg2020tracingcovid19data
239;1046281ijafrv6i21068
240;1021203rs3rs-559099v1
241;1021203rs3rs-559099v1
242;1021203rs3rs-559099v1
243;1021203rs3rs-559099v1
244;1021203rs3rs-559099v1
245;1021203rs3rs-559099v1
246;1021203rs3rs-559099v1
247;1037423200501001
248;101007s00101-020-00862-y
249;10392819382359-20201014-01
250;101038s41420-021-00464-6
251;101038s41420-021-00464-6
252;101038s41420-021-00464-6
253;101038s41420-021-00464-6
254;1021742666958702101010006
255;1021742666958702101010006
256;1021742666958702101010032
257;1021742666958702101010032
258;1021742666958702101010032
259;101093gerontgnaa200
260;101093gerontgnaa200
261;103390covid1010002
262;103390covid1010002
263;103390covid1010002
264;101002jmv26624
265;1010800748118720201818885
266;1010800748118720201818885
267;101007978-3-030-70179-6_54
268;101007978-3-030-70179-6_54
269;101007978-3-030-70179-6_54
270;1014293s2199-10061sor-medcl0zebsv1
271;1014293s2199-10061sor-medcla9yt7v1
272;1014293s2199-10061sor-medcl6u3s3v1
273;1014293s2199-10061sor-uncatclkkvvyv1
274;1026226morressier5f884462c267945095ea79f0
275;1026226morressier5ebc4ac6ffea6f735881a4d8
276;10240192020covid-19
277;1014293s2199-10061sor-medclazjttv1
278;1014293s2199-10061sor-medclo1wg3v1
279;1026524royal371
280;1026524royal371
281;1026524royal371
282;1026524royal371
283;1026524royal371
284;1026524royal371
285;1026524royal371
286;1026524royal371
287;1026524royal371
288;1026524royal371
289;1026524royal371
290;1026524royal3714
291;1026524royal3714
292;1026524royal3714
293;1026524royal3714
294;1026524royal3730
295;1026524royal3730
296;1026524royal3730
297;1026524royal3730
298;1026524royal3724
299;1015842kjcp2020394009
300;1015842kjcp2020394009
301;1021088ijcer2321981581205
302;1011610cybsec02bg
303;1011610cybsec02
304;103390ijerph18052621
305;103390ijerph18052621
306;103390ijerph18052621
307;103390ijerph18052621
308;103390ijerph18052621
309;1023880oajmms-16000127
310;101093law-occ19e30133
311;101093law-occ19e30133
312;101093law-occ19e30133
313;101093law-occ19e60136
314;101093law-occ19e60136
315;101093law-occ19e60136
316;101093law-occ19e60136
317;101093law-occ19e60136
318;101093law-occ19e1101311
319;101093law-occ19e1101311
320;101093law-occ19e1101311
321;101093law-occ19e1101311
