ISBN;DOI
9,78939E+12;1026524royal3721
9,78939E+12;1026524royal3715
9,78939E+12;1026524royal3725
9,78939E+12;1026524royal3718
9,78939E+12;1026524royal3718
9,78939E+12;1026524royal3717
9,78939E+12;1026524royal3727
9,78939E+12;1026524royal3720
9,78939E+12;1026524royal3726
9,78939E+12;1026524royal3722
9,78939E+12;1026524royal379
9,78939E+12;1026524royal3716
9,78939E+12;1026524royal375
9,78939E+12;1026524royal3719
9,78939E+12;1026524royal3728
9,78939E+12;1026524royal3713
9,78939E+12;1026524royal3729
9,78939E+12;1026524royal376
9,78939E+12;1026524royal374
9,78939E+12;1026524royal3723
9,781E+12;1043249781003111344-2
9,781E+12;1043249781003108924-13
9,781E+12;1012019781003104124-2
9,78032E+12;101016b978-0-323-82860-400001-x
9,781E+12;1043249781003154037-17
9,781E+12;1043249781003142065-1
9,781E+12;1043249781003154037-15
9,781E+12;1043249781003154037-26
9,781E+12;1043249781003111344-3
9,781E+12;1043249781003154037-7
9,781E+12;1043249781003095590-6
;105772intechopen96199
9,781E+12;1043249781003108924-3
9,78939E+12;1026524royal37
9,78841E+12;1047919fmgaoc200008
9,78013E+12;101016b978-0-12-824003-800002-4
9,78013E+12;101016b978-0-12-824003-800003-6
9,78013E+12;101016b978-0-12-824003-800005-x
9,78013E+12;101016b978-0-12-824003-800001-2
9,78013E+12;101016b978-0-12-824003-800004-8
9,781E+12;1012019781003104124-5
;105772intechopen96397
9,781E+12;1012019781003137481-12
9,781E+12;1043249781003108924-23
9,781E+12;1043249781003108924-6
9,781E+12;1043249781003108924-11
9,781E+12;1043249781003121718-6
9,781E+12;1012019781003104124-7
9,781E+12;1012019781003104124-1
;105772intechopen96200
9,78032E+12;101016b978-0-323-82860-400006-9
9,78032E+12;101016b978-0-323-82860-400008-2
9,78032E+12;101016b978-0-323-82860-400005-7
9,78032E+12;101016b978-0-323-82860-400015-x
9,78032E+12;101016b978-0-323-82860-400017-3
9,78032E+12;101016b978-0-323-82860-400009-4
9,78032E+12;101016b978-0-323-82860-400020-3
9,78032E+12;101016b978-0-323-82860-400021-5
9,781E+12;1043249781003095590-9
9,781E+12;1043249781003154037-14
9,781E+12;1043249781003154037-3
9,781E+12;1043249781003154037-27
9,781E+12;1043249781003154037-30
9,781E+12;1043249781003154037-23
9,781E+12;1043249781003154037-25
9,781E+12;1043249781003154037-29
9,781E+12;1043249781003154037-19
9,781E+12;1043249781003142089-12
9,781E+12;1043249781003142089-7
9,781E+12;1043249781003142089-1
9,781E+12;1043249781003142065-9
;105772intechopen97482
9,781E+12;1043249781003154037-9
9,781E+12;1043249781003154037-22
9,781E+12;1043249781003154037-6
9,781E+12;1043249781003154037-11
9,781E+12;1043249781003154037-16
9,781E+12;1043249781003154037-20
9,781E+12;1043249781003154037-21
9,781E+12;1043249781003154037-12
9,781E+12;1043249781003154037-8
9,78027E+12;1015159780271091723-003
9,78027E+12;1015159780271091723-002
9,78191E+12;10239129781911635703-4429
;1037423200601135
;1037423200601136
;1037423200501013
;1037423200501007
;1037423200501018
;1037423200501008
;1037423200501010
;1037423200501005
;1037423200501012
;1037423200501002
;1037423200501009
;1037423200501014
